Unnamed: 0,time,province,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI
89,2018-03-31,广东,34.660025477707,50.38096815286624,7.8526878980891714,17.078840764331208,0.6108789808917198,86.06554140127388,-2.4518343949044588,0.1487006369426751,295.0872484076433,68.70364331210192,99165.0847133758,23.3224076433121,113.41785987261149,二级
90,2018-04-01,广东,39.414866242038215,59.95180891719745,8.629528662420382,17.353617834394903,0.6470063694267516,92.12472611464968,-0.4720382165605096,1.7436050955414013,295.64601273885347,69.22687898089171,99054.74862420384,23.3224076433121,113.41785987261149,二级
91,2018-04-02,广东,49.82329936305732,72.76856050955413,9.718025477707004,19.240815286624205,0.7276687898089172,96.71393630573247,0.8578216560509554,3.4046624203821656,296.20057324840764,70.4196050955414,98953.90284076432,23.3224076433121,113.41785987261149,二级
92,2018-04-03,广东,47.73728662420382,67.10617834394904,8.433808917197453,17.992700636942676,0.6514649681528663,92.225974522293,0.2998980891719745,4.414585987261146,296.28408917197453,71.07968152866242,98978.38112101912,23.3224076433121,113.41785987261149,二级
93,2018-04-04,广东,33.27787261146497,48.87509554140127,6.832305732484076,16.833617834394904,0.5427515923566879,76.30635668789809,-0.8497452229299363,3.609898089171976,295.990229299363,71.87012738853504,98924.94326114649,23.3224076433121,113.41785987261149,一级
94,2018-04-05,广东,25.84942675159236,37.942496815286624,5.977019108280254,13.99891719745223,0.4852866242038216,65.40268789808917,-1.2024968152866242,4.166305732484076,295.64806369426753,75.72979617834395,98831.40458598726,23.3224076433121,113.41785987261149,一级
95,2018-04-06,广东,23.69979617834395,43.665235668789805,10.516254777070063,14.58603821656051,0.6084203821656051,49.04620382165605,-1.6346624203821656,-8.173987261146497,289.75774522292994,72.28448407643312,99389.45816560509,23.3224076433121,113.41785987261149,一级
96,2018-04-07,广东,27.16366878980892,81.96712101910828,8.507337579617834,12.72564331210191,0.4516687898089172,75.99486624203821,-5.39732484076433,-8.919299363057325,288.5641146496815,35.44773248407643,100004.92182165604,23.3224076433121,113.41785987261149,二级
97,2018-04-08,广东,34.662382165605095,77.61904458598725,8.250955414012738,23.162904458598728,0.5531974522292994,85.83327388535031,-3.329834394904459,-1.791171974522293,289.85657324840764,34.49136305732484,99716.02165605096,23.3224076433121,113.41785987261149,二级
98,2018-04-09,广东,40.34368152866242,76.91496815286624,8.915681528662422,25.685375796178345,0.6675923566878981,97.63727388535033,-2.2194267515923567,2.8782547770700635,292.50812738853506,59.41495541401274,99397.82591082805,23.3224076433121,113.41785987261149,二级
99,2018-04-10,广东,31.77066242038217,50.3836050955414,6.537235668789808,17.339095541401274,0.5978089171974522,83.88290445859873,-1.815515923566879,4.888216560509554,294.55622929936305,76.11901910828026,99106.1114267516,23.3224076433121,113.41785987261149,二级
100,2018-04-11,广东,28.67570700636943,43.67570700636943,6.3973121019108286,19.22261146496816,0.5925732484076434,60.34703184713376,-0.4312229299363057,4.901286624203822,296.2024840764331,79.34777070063694,98844.9241910828,23.3224076433121,113.41785987261149,一级
101,2018-04-12,广东,23.130343949044587,34.03484076433121,5.93807643312102,17.13648407643312,0.5422165605095541,42.09442038216561,0.486828025477707,6.860891719745223,297.5376815286624,79.13089171974522,98665.61763057324,23.3224076433121,113.41785987261149,一级
102,2018-04-13,广东,19.922649681528664,28.24942675159236,5.347235668789809,14.61775796178344,0.52,35.4547898089172,0.0639108280254777,7.493235668789809,298.21371974522293,79.89249681528662,98715.65072611465,23.3224076433121,113.41785987261149,一级
103,2018-04-14,广东,19.463579617834394,30.05109554140128,7.849961783439491,15.634305732484076,0.5344203821656051,35.052687898089175,0.8434904458598725,-0.3885859872611465,295.62904458598723,82.03951592356688,98854.05575796176,23.3224076433121,113.41785987261149,一级
104,2018-04-15,广东,18.207044585987266,32.70228025477707,11.304585987261149,13.356535031847132,0.6197579617834394,51.33698089171974,-2.201923566878981,-6.575414012738853,290.3816687898089,71.86188535031847,99215.6547133758,23.3224076433121,113.41785987261149,一级
105,2018-04-16,广东,29.869554140127388,59.28867515923567,10.209146496815286,16.92387261146497,0.6181401273885351,51.00248407643312,-2.0575414012738853,-3.973057324840764,291.2668025477707,60.2811847133758,99317.94686624204,23.3224076433121,113.41785987261149,二级
106,2018-04-17,广东,37.04796178343949,70.98752866242039,9.967490445859871,19.921566878980894,0.6448662420382166,72.06971974522294,-2.43263694267516,-2.581146496815286,292.6589808917197,55.8540382165605,99364.6400509554,23.3224076433121,113.41785987261149,二级
107,2018-04-18,广东,48.130662420382166,74.63388535031847,10.002840764331207,22.59470063694268,0.7168280254777071,95.54982165605097,-2.317656050955414,0.0549554140127388,293.81543949044584,63.56094267515923,99247.05250955414,23.3224076433121,113.41785987261149,二级
108,2018-04-19,广东,50.08853503184714,71.03412738853503,9.385426751592355,21.86471337579618,0.7067515923566878,97.84463694267517,-2.7639617834394903,2.0453630573248405,294.5116942675159,73.46174522292993,99122.37919745225,23.3224076433121,113.41785987261149,二级
109,2018-04-20,广东,40.57542675159235,57.93025477707006,7.521019108280255,22.08951592356688,0.6525350318471338,80.63867515923567,-3.913643312101911,3.729375796178344,295.2021910828025,77.78152866242038,99009.25489171976,23.3224076433121,113.41785987261149,二级
110,2018-04-21,广东,27.80187261146497,41.98573248407644,5.881019108280255,16.580802547770702,0.5357070063694268,65.43755414012739,-3.335656050955414,5.518292993630573,296.28086624203826,82.0136305732484,98847.1387388535,23.3224076433121,113.41785987261149,一级
111,2018-04-22,广东,24.36592356687898,36.45259872611465,5.526305732484076,15.715987261146497,0.5052229299363058,51.97303184713376,-2.053312101910828,5.773350318471337,297.1257834394904,82.91147770700637,98668.1733375796,23.3224076433121,113.41785987261149,一级
112,2018-04-23,广东,21.74899363057325,30.39862420382165,8.556649681528663,16.03340127388535,0.4680764331210191,42.03011464968153,-0.236343949044586,4.21943949044586,297.4852484076433,82.81833121019108,98490.61933757964,23.3224076433121,113.41785987261149,一级
113,2018-04-24,广东,23.95304458598726,37.02210191082802,10.905949044585988,17.535668789808916,0.6918853503184713,44.84935031847134,-1.5270191082802549,-4.198127388535032,295.76449681528663,78.2923312101911,98754.68882802548,23.3224076433121,113.41785987261149,一级
114,2018-04-25,广东,28.81582165605096,42.43531210191083,10.949464968152864,16.773554140127388,0.7553630573248408,64.51527388535031,-2.948012738853503,-3.219031847133758,295.4388535031847,70.25942675159236,98926.34839490445,23.3224076433121,113.41785987261149,一级
115,2018-04-26,广东,42.199477707006366,55.27197452229299,8.955503184713375,22.1256050955414,0.8196178343949044,59.22257324840764,-2.255605095541401,0.2014012738853503,296.16494267515924,77.55014012738853,98961.37250955414,23.3224076433121,113.41785987261149,二级
116,2018-04-27,广东,42.14219108280256,57.23736305732484,9.175401273885347,20.29826751592357,0.8751592356687898,60.494535031847136,-1.8547388535031848,-1.065579617834395,296.49259872611464,80.25154140127388,99151.35614012738,23.3224076433121,113.41785987261149,二级
117,2018-04-28,广东,41.64512101910828,57.5883694267516,9.135732484076431,18.67224203821656,0.8840000000000001,64.34783439490447,-2.4107261146496817,1.4290573248407643,296.67357961783443,80.8828025477707,99103.32922292994,23.3224076433121,113.41785987261149,二级
